Experiment,Timestep,Segment,Angles
none,0,1,78.99645915
none,0,2,80.36246189
none,0,3,81.39551841
none,0,4,81.08507304
none,0,5,79.27555146
none,0,6,80.87710379
none,1,1,88.39997528
none,1,2,82.69424047
none,1,3,79.45193458
none,1,4,76.05427112
none,1,5,61.75574893
none,1,6,50.24433811
none,2,1,87.16588898
none,2,2,86.7480544
none,2,3,82.65877419
none,2,4,76.2005146
none,2,5,33.14699583
none,2,6,7.686721681
none,3,1,76.15559436
none,3,2,86.72101374
none,3,3,82.87498365
none,3,4,63.8118893
none,3,5,17.25679553
none,3,6,63.74690098
none,4,1,69.86369657
none,4,2,84.70478706
none,4,3,82.72499504
none,4,4,63.67670173
none,4,5,20.58166945
none,4,6,49.33006028
none,5,1,21.92958775
none,5,2,56.67371031
none,5,3,83.91147185
none,5,4,59.91584344
none,5,5,23.59773135
none,5,6,38.14292767
2cm,0,1,88.78757191
2cm,0,2,89.28828779
2cm,0,3,86.82016988
2cm,0,4,86.42366563
2cm,0,5,87.86574124
2cm,0,6,89.35261761
2cm,1,1,40.26906138
2cm,1,2,66.4895988
2cm,1,3,88.29527168
2cm,1,4,82.61395685
2cm,1,5,78.16322463
2cm,1,6,69.88327483
2cm,2,1,16.14433878
2cm,2,2,41.9335145
2cm,2,3,84.74619725
2cm,2,4,79.01450222
2cm,2,5,74.40718906
2cm,2,6,67.42586192
2cm,3,1,50.37437737
2cm,3,2,24.83516756
2cm,3,3,88.70540048
2cm,3,4,79.41836448
2cm,3,5,71.46744347
2cm,3,6,63.94085867
2cm,4,1,73.6441829
2cm,4,2,10.96787218
2cm,4,3,86.09950626
2cm,4,4,80.70075832
2cm,4,5,70.75527076
2cm,4,6,59.18876071
2cm,5,1,79.64397375
2cm,5,2,7.707485723
2cm,5,3,83.40548497
2cm,5,4,86.1214755
2cm,5,5,68.82944948
2cm,5,6,51.43164543
3cm,0,1,25.04259818
3cm,0,2,24.40397169
3cm,0,3,18.74134045
3cm,0,4,7.561428428
3cm,0,5,2.101654328
3cm,0,6,5.069420133
3cm,1,1,37.53943387
3cm,1,2,27.29957221
3cm,1,3,24.06563158
3cm,1,4,12.7071135
3cm,1,5,26.36541512
3cm,1,6,63.24585453
3cm,2,1,38.79998114
3cm,2,2,28.61045967
3cm,2,3,24.34108994
3cm,2,4,35.59266413
3cm,2,5,37.39180833
3cm,2,6,66.8245406
3cm,3,1,53.75740334
3cm,3,2,33.97286769
3cm,3,3,10.22216863
3cm,3,4,27.69439159
3cm,3,5,43.02506599
3cm,3,6,55.74266606
3cm,4,1,89.80708565
3cm,4,2,45.92192148
3cm,4,3,1.554155373
3cm,4,4,11.49656302
3cm,4,5,51.17519356
3cm,4,6,41.48724124
3cm,5,1,75.64213164
3cm,5,2,54.26452399
3cm,5,3,2.254574966
3cm,5,4,1.958067429
3cm,5,5,59.34063175
3cm,5,6,31.63978156
4cm,0,1,8.104716543
4cm,0,2,8.551830234
4cm,0,3,4.31602752
4cm,0,4,5.474128201
4cm,0,5,16.26020471
4cm,0,6,20.55604522
4cm,1,1,37.10423491
4cm,1,2,27.35665234
4cm,1,3,15.39881975
4cm,1,4,0.246963037
4cm,1,5,32.89434397
4cm,1,6,62.06600876
4cm,2,1,37.63194893
4cm,2,2,28.56394078
4cm,2,3,16.56236038
4cm,2,4,1.566291187
4cm,2,5,54.26282517
4cm,2,6,75.86089169
4cm,3,1,72.80551397
4cm,3,2,50.86960044
4cm,3,3,17.81888891
4cm,3,4,7.775434079
4cm,3,5,49.50143846
4cm,3,6,58.74904898
4cm,4,1,88.92917555
4cm,4,2,55.64206854
4cm,4,3,14.79676225
4cm,4,4,4.346124355
4cm,4,5,51.38037111
4cm,4,6,53.70495711
4cm,5,1,81.95289485
4cm,5,2,51.15038153
4cm,5,3,13.03115746
4cm,5,4,0.261622746
4cm,5,5,48.55834888
4cm,5,6,50.30598597
6cm,0,1,5.322750708
6cm,0,2,7.270868676
6cm,0,3,3.486829771
6cm,0,4,6.66130164
6cm,0,5,19.31013943
6cm,0,6,19.17032685
6cm,1,1,29.6569707
6cm,1,2,20.48701419
6cm,1,3,10.32285268
6cm,1,4,3.354157511
6cm,1,5,31.06125351
6cm,1,6,50.03378696
6cm,2,1,30.30879793
6cm,2,2,20.791732
6cm,2,3,10.93381679
6cm,2,4,1.327077991
6cm,2,5,50.61360503
6cm,2,6,87.43622979
6cm,3,1,42.31022968
6cm,3,2,25.86635679
6cm,3,3,8.27969935
6cm,3,4,6.654425046
6cm,3,5,50.49048349
6cm,3,6,77.14436603
6cm,4,1,67.04194451
6cm,4,2,36.65273212
6cm,4,3,6.193904967
6cm,4,4,10.58957086
6cm,4,5,47.48157079
6cm,4,6,69.82934659
6cm,5,1,73.37133877
6cm,5,2,36.07601156
6cm,5,3,0
6cm,5,4,13.42738456
6cm,5,5,44.37820975
6cm,5,6,66.4936464